CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
10504-WEPEW53432PG16950,160.36599999999999,199.56,330,2002,7329.229264069264
10509-WEPEW53475PJ97070,170.09444444444443,109.10555555555555,330,2005,6761.496296296296
10513-WEKPS73448WE52996,76.87,39.4,X3,2008,8305.75
10532-WEPEW33465PL34374,131.5523076923077,102.6,3 SERIES E46,2005,2248.1164335664334
10534-WEPSN33421LK48066,129.9025,145.06875,3 SERIES E36,2001,8193.35576923077
10537-5YMGY0S55SLK27211,182.64807692307693,108.88846153846154,X5,2012,18911.34487179487
10537-WEPEW53433PN30374,33.54,88.41,330,2003,15645.27272727273
10541-WEPEV33405KK10418,183.0,312.9,3 SERIES E46,2005,12346.833333333334
10550-WESVP935K8E041564,84.154,107.584,X5,2008,6186.697484848484
10555-5QKSR6S59KLL02545,0.0,61.0,X5,2019,7216.0
10558-WEKPS7S42PWE54185,146.34,240.25,X3,2010,7897.833333333333
10564-WMWRE33515TD99945,89.02692307692307,159.22115384615384,COOPER S 6SPD,2005,21390.705433455434
10565-WEPEN53421JQ23094,112.72,115.5,3 SERIES E46,2001,12151.590909090908
10583-5YMGY0S58ELK26777,975.8560000000001,44.0,X5,2011,16081.0
10583-WESER93445PK09413,92.11,140.3,3 SERIES E46,2005,13640.125
10587-5QKVV03559LJ98598,121.01388888888889,102.89444444444445,X5,2009,17349.284656084656
10590-WEP8D9S54HK894245,88.29,55.025,330,2017,21059.5
10590-WEPEV33425KL64713,84.38857142857144,180.18142857142857,3 SERIES E46,2005,12448.078231292517
10598-WEPKP835K9SY34295,185.286875,223.8203125,750,2009,10230.137946428571
10598-WEPWS7S58PE274761,99.17,79.0,335,2010,15248.75
106-5QKWK9S56D0D03891,15.6225,36.8125,X3,2013,10020.625
106-WEKPS7S44PWE53099,62.553333333333335,90.0,X3,2010,17946.666666666668
10605-5QKZV8S59SL424079,293.8520689655172,239.5155172413793,X5,2012,12686.175903119869
10605-WEPNE53506SN93285,106.224,199.66,525,2006,14326.67272727273
